137053102, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4404, -4404, 8578, 2006, 2148, 2572, 0, 0, 602, 1, 1, 1, 1
137056051, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4460, -4992, 8491, 1958, 2168, 3028, 0, 0, 602, 1, 1, 1, 1
137058643, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4656, -5560, 8398, 1918, 2183, 3660, 0, 0, 602, 1, 1, 1, 1
137061052, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4800, -6216, 8298, 1874, 2192, 4120, 0, 0, 602, 1, 1, 1, 1
137063405, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5000, -6880, 8201, 1824, 2194, 4636, 0, 0, 602, 1, 1, 1, 1
137065872, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5040, -7616, 8087, 1769, 2189, 5016, 0, 0, 595, 1, 1, 1, 1
137068205, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5280, -8268, 7958, 1714, 2179, 5580, 0, 0, 595, 1, 1, 1, 1
137070540, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5256, -8956, 7831, 1658, 2160, 6076, 0, 0, 595, 1, 1, 1, 1
137072935, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5324, -9760, 7690, 1581, 2138, 6504, 0, 0, 595, 1, 1, 1, 1
137075254, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5184, -10132, 7546, 1545, 2101, 6996, 0, 0, 595, 1, 1, 1, 1
137077586, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5316, -10780, 7391, 1549, 2061, 7568, 0, 0, 595, 1, 1, 1, 1
137079956, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5632, -11600, 7223, 1549, 2014, 7968, 0, 0, 595, 1, 1, 1, 1
137082296, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5928, -12320, 7044, 1507, 1961, 8280, 0, 0, 595, 1, 1, 1, 1
