43036067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2430, 1308, 133, -8468, 11324, 7840, 0, 0, 602, 1, 1, 1
43040625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2289, 1247, 185, -6904, 11536, 6256, 0, 0, 595, 1, 1, 1
43043802, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2218, 1262, 212, -6728, 11556, 6392, 0, 0, 595, 1, 1, 1
43046891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2166, 1305, 244, -6644, 11576, 6572, 0, 0, 595, 1, 1, 1
43049879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2129, 1377, 288, -6516, 11388, 6840, 0, 0, 595, 1, 1, 1
43052844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2114, 1488, 335, -6144, 11164, 7360, 0, 0, 595, 1, 1, 1
43055915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2114, 1610, 371, -5940, 11232, 7252, 0, 0, 595, 1, 1, 1
43058953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2124, 1747, 405, -5808, 11228, 7296, 0, 0, 595, 1, 1, 1
43062019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2150, 1891, 425, -5472, 11080, 7644, 0, 0, 595, 1, 1, 1
43065112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2218, 2089, 426, -5044, 10768, 8044, 0, 0, 595, 1, 1, 1
43068159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2333, 2333, 431, -4848, 10408, 8460, 0, 0, 595, 1, 1, 1
43071204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2471, 2544, 445, -5112, 10008, 8788, 0, 0, 595, 1, 1, 1
43074296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2596, 2680, 479, -5740, 9516, 8828, 0, 0, 602, 1, 1, 1
43077307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2687, 2712, 512, -6268, 9660, 8552, 0, 0, 602, 1, 1, 1
43080327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2720, 2625, 545, -6680, 9944, 7960, 0, 0, 602, 1, 1, 1
43083386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2701, 2454, 563, -6696, 10252, 7644, 0, 0, 602, 1, 1, 1
43086410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2649, 2256, 557, -6488, 10452, 7252, 0, 0, 602, 1, 1, 1
43090135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2587, 2069, 521, -6188, 10676, 6848, 0, 0, 602, 1, 1, 1
43092613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2550, 1967, 494, -5972, 10696, 6704, 0, 0, 602, 1, 1, 1
43095687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2477, 1815, 438, -5808, 10704, 6336, 0, 0, 602, 1, 1, 1
43099432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2358, 1564, 347, -6240, 10948, 5820, 0, 0, 602, 1, 1, 1
